key,en,ko,zh-tw,zh-cn,,,,,,,,,,,,,,,
TITLE,DPlay Inventory,DPlay 보관함,DPlay保管箱,DPlay保管箱,,,,,,,,,,,,,,,
CREATE_ACCOUNT_TITLE,Create account,계정 생성,建立帳號,建立账戶,,,,,,,,,,,,,,,
CREATED_ACCOUNT_ID,Created account ID,생성된 계정 ID,已建立帳號,已建立账戶,,,,,,,,,,,,,,,
MNEMONIC,12 secret words,12개의 비밀 단어,12個助憶詞,12个助忆词,,,,,,,,,,,,,,,
BACKUP_NOTICE_1,Be sure to SAVE THESE SECRET WORDS somewhere else. And DON'T REAVEAL THEM TO ANYONE. Anyone who knows the secret words can steal all your digital assets.,절대! 결코! 반드시! 위 비밀 단어들을 다른 곳에 저장하십시오. 그리고 아무에게도 공개하지 마십시오. 위 비밀 단어들을 아는 사람은 당신의 모든 디지털 자산을 훔쳐갈 수 있습니다.,千萬！絕對！務必！請將上述的助憶詞保存在其他位置，並且不要透露給其他人，任何知道這些助憶詞的人都可以竊取您的數位資產。,千万！绝对！务必！请将上述的助忆词保存在其他位置，并且不要透露给其他人，任何知道这些助忆词的人都可以窃取您的数字资产。,,,,,,,,,,,,,,,
BACKUP_NOTICE_2,"If you remember your secret words, you can find out your account ID. Therefore, there is no need to back up your account ID.",비밀 단어만 알고 있으면 계정 ID도 다시 알아낼 수 있습니다. 그러므로 계정 ID를 백업할 필요는 없습니다.,只要記得助憶詞就可以還原帳號，因此您不需要備份帳號。,只要记得助忆词就可以还原账戶，因此您不需要备份账戶。,,,,,,,,,,,,,,,
DONE_BACKUP_BUTTON,I've finished the backup.,백업을 완료했습니다.,備份完成,备份完成,,,,,,,,,,,,,,,
REALLY_BACKUP_CONFIRM,"Have you really backed up the secret words? ",정말 백업을 하셨습니까? 백업을 하지 않아 당신이 모든 자산을 잃어버려도 아무도 책임지지 않습니다.,確定真的備份了嗎？ 如果您不備份且遺失所有資產，沒有人會向您負責。,确定真的备份了吗？ 如果您不备份且遗失所有资产，没有人会向您负责。,,,,,,,,,,,,,,,
REGENERATE_ACCOUNT_BUTTON,Regenerate account,다시 생성하기,重新建立帳號,重新建立账戶,,,,,,,,,,,,,,,
LOGIN_PASSWORD_INPUT,Password,비밀번호,密碼,密码,,,,,,,,,,,,,,,
LOGIN_TITLE,Sign in,계정 접속,登入,登入,,,,,,,,,,,,,,,
LOGIN_SUBMIT,Sign in,계정 접속,登入,登入,,,,,,,,,,,,,,,
RESET_PASSWORD_BUTTON,Reset password,비밀번호 재설정,重設密碼,重设密码,,,,,,,,,,,,,,,
PLEASE_ENTER_PASSWORD_MESSAGE,Please enter the password.,비밀번호를 입력해주세요.,請輸入密碼。,请输入密码。,,,,,,,,,,,,,,,
PASSWORD_TOO_SHORT_MESSAGE,The password is too short. Please enter more than 4 letters.,비밀번호가 너무 짧습니다. 4글자 이상으로 입력해주세요.,密碼太短，請至少輸入4個字元。,密码太短，请至少输入4个字符。,,,,,,,,,,,,,,,
WRONG_PASSWORD_MESSAGE,The password you entered is incorrect.,비밀번호가 틀렸습니다.,密碼錯誤。,密码错误。,,,,,,,,,,,,,,,
RESTORE_ACCOUNT_TITLE,Restore account,계정 복구,還原帳號,还原账戶,,,,,,,,,,,,,,,
FIRST_USE_CONFIRM,First time using DPlay Inventory?,DPlay 보관함을 처음 이용하십니까?,請問是第一次使用DPlay保管箱嗎？,请问是第一次使用DPlay保管箱吗？,,,,,,,,,,,,,,,
CREATE_ACCOUNT_BUTTON,Create an account,계정 생성,建立帳號,建立账戶,,,,,,,,,,,,,,,
ALREADY_HAVE_ACCOUNT_CONFIRM,Have you created an account before?,이전에 계정을 생성하신 적이 있습니까?,請問以前建立過帳號嗎？,请问以前建立过账戶吗？,,,,,,,,,,,,,,,
THIS_DEVICE_PASSWORD_INPUT,Password to use for this device,이 기기에서 사용할 비밀번호,用於此裝置的密碼,用于此装置的密码,,,,,,,,,,,,,,,
PASSWORD_NOTICE,The above password is a simple convenience to avoid entering 12 secret words each time. You must back up 12 secret words regardless of the password.,"위 비밀번호는 매번 12개의 비밀 단어를 입력하지 않도록 하는 단순한 편의 기능으로, 비밀번호와 무관하게 12개의 비밀 단어들은 반드시 백업해야합니다.",上面的密碼很方便，可以免去輸入12個助憶詞的麻煩，但無論如何，請務必備份12個助憶詞。,上面的密码很方便，可以免去输入12个助忆词的麻烦，但无论如何，请务必备份12个助忆词。,,,,,,,,,,,,,,,
RESTORE_ACCOUNT_SUBMIT,Sign in,계정 접속,登入,登入,,,,,,,,,,,,,,,
PLEASE_ENTER_MNEMONIC_MESSAGE,Please enter the 12 secret words.,12개의 비밀 단어를 입력해주세요.,請輸入12個助憶詞。,请输入12个助忆词。,,,,,,,,,,,,,,,
GAME_TAB,GAMES,게임,遊戲,游戏,,,,,,,,,,,,,,,
ITEM_TAB,ITEMS,아이템,物品,物品,,,,,,,,,,,,,,,
MONEY_TAB,Assets,재화,財產,财产,,,,,,,,,,,,,,,
MENU_MY_ACCOUNT,My account,내 계정,我的帳號,我的账戶,,,,,,,,,,,,,,,
MENU_GUILD,Guild information,길드 정보,公會資訊,公会信息,,,,,,,,,,,,,,,
MENU_CHANGE_NETWORK,Change network,네트워크 변경,改變交易網路,改变交易网络,,,,,,,,,,,,,,,
GAME_LIST_TITLE,GAMES,게임 목록,遊戲清單,游戏清单,,,,,,,,,,,,,,,
EMPTY_GAME_LIST_MESSAGE,You don't have any games yet.,구매하신 게임이 없습니다.,目前沒有購買任何遊戲。,目前没有购买任何游戏。,,,,,,,,,,,,,,,
WEB_GAME_LIST_TITLE,WEB GAMES,웹 게임 목록,網頁遊戲清單,网页游戏清单,,,,,,,,,,,,,,,
EMPTY_WEB_GAME_LIST_MESSAGE,There is no web game yet.,아직 웹 게임이 없습니다.,目前沒有任何網頁遊戲。,目前没有任何网页游戏。,,,,,,,,,,,,,,,
LOADING_ITEM_LIST_MESSAGE,Loading the item list...,아이템 목록을 불러오는 중입니다.,正在載入中...,正在载入中...,,,,,,,,,,,,,,,
CHARGE_MONEY_BUTTON,Charge,충전하기,存入,存入,,,,,,,,,,,,,,,
BUY_MONEY_BUTTON,Buy..,구입하기,購買,购买,,,,,,,,,,,,,,,
SEND_MONEY_BUTTON,Send..,보내기,發送,发送,,,,,,,,,,,,,,,
MY_ACCOUNT_TITLE,MY ACCOUNT,내 계정,我的帳號,我的账戶,,,,,,,,,,,,,,,
UPDATE_ACCOUNT_BUTTON,Update profile,정보 수정,編輯資訊,编辑信息,,,,,,,,,,,,,,,
LOGOUT_BUTTON,Sign out,로그아웃,登出,注销,,,,,,,,,,,,,,,
UPDATE_ACCOUNT_TITLE,Edit account,계정 수정,編輯帳號,编辑账戶,,,,,,,,,,,,,,,
NAME_INPUT,name,이름,名稱,名称,,,,,,,,,,,,,,,
INTRODUCE_INPUT,introduction,자기 소개,自我介紹,自我介绍,,,,,,,,,,,,,,,
UPDATE_ACCOUNT_SUBMIT,Save,저장하기,存檔,存档,,,,,,,,,,,,,,,
PLEASE_ENTER_NAME_MESSAGE,Please enter your name.,이름을 입력해주세요.,請輸入名稱。,请输入名称。,,,,,,,,,,,,,,,
WRONG_SIZE_NAME_MESSAGE,Please enter your name less than {length} letters.,이름은 {length}글자 이하로 입력해주시기 바랍니다.,名稱請輸入{length}個字元以下。,名称请输入{length}个字符以下。,,,,,,,,,,,,,,,
WRONG_SIZE_INTRODUCE_MESSAGE,Please enter your introduction less than {length} letters.,자기 소개는 {length}글자 이하로 입력해주시기 바랍니다.,自我介紹請輸入{length}個字元以下。,自我介绍请输入{length}个字符以下。,,,,,,,,,,,,,,,
UPDATE_ACCOUNT_CONFIRM,Would you like to modify your account information by spending 1d?,1d를 소모하여 계정 정보를 수정하시겠습니까?,確定要花費1d修改帳號資訊嗎？,确定要花费1d修改帐户信息吗？,,,,,,,,,,,,,,,
